StudID,Affect
1,Engaged
1,Engaged
1,Engaged
1,Engaged
1,Engaged
1,Engaged
1,Engaged
1,Engaged
1,Excited
1,Excited
2,Engaged
2,Engaged
2,Engaged
2,Engaged
2,Engaged
2,Engaged
2,Engaged
2,Engaged
2,Confused
2,Confused
3,Engaged
3,Engaged
3,Engaged
3,Engaged
3,Engaged
3,Engaged
3,Engaged
3,Engaged
3,Engaged
3,Engaged
4,Engaged
4,Engaged
4,Engaged
4,Engaged
4,Engaged
4,Engaged
4,Engaged
4,Engaged
4,Engaged
4,Engaged
5,Engaged
5,Engaged
5,Engaged
5,Engaged
5,Engaged
5,Engaged
5,Engaged
5,Engaged
5,Engaged
5,Engaged
6,Engaged
6,Engaged
6,Engaged
6,Engaged
6,Engaged
6,Engaged
6,Engaged
6,Engaged
6,Engaged
6,Engaged
7,Engaged
7,Engaged
7,Engaged
7,Engaged
7,Engaged
7,Confused
7,Confused
7,Confused
7,Frustrated
7,Frustrated
8,Engaged
8,Engaged
8,Engaged
8,Engaged
8,Engaged
8,Engaged
8,Engaged
8,Engaged
8,Engaged
8,Engaged
9,Pride
9,Pride
9,Pride
9,Pride
9,Pride
9,Pride
9,Pride
9,Pride
9,Engaged
9,Engaged
10,Pride
10,Pride
10,Pride
10,Pride
10,Pride
10,Engaged
10,Engaged
10,Engaged
10,Engaged
10,Engaged
11,Engaged
11,Engaged
11,Engaged
11,Engaged
11,Engaged
11,Pride
11,Pride
11,Pride
11,Confused
11,Confused
12,Engaged
12,Engaged
12,Engaged
12,Engaged
12,Engaged
12,Pride
12,Pride
12,Pride
12,Confused
12,Confused
13,Engaged
13,Engaged
13,Engaged
13,Engaged
13,Engaged
13,Engaged
13,Engaged
13,Engaged
13,Engaged
13,Engaged
14,Confused
14,Confused
14,Confused
14,Confused
14,Confused
14,Engaged
14,Engaged
14,Engaged
14,Pride
14,Pride
15,Engaged
15,Engaged
15,Engaged
15,Engaged
15,Engaged
15,Engaged
15,Engaged
15,Engaged
15,Confused
15,Confused
16,Engaged
16,Engaged
16,Happy/Delight
16,Happy/Delight
16,Happy/Delight
16,Happy/Delight
16,Happy/Delight
16,Engaged
16,Engaged
17,Engaged
17,Engaged
17,Confused
17,Confused
17,Confused
17,Pride
17,Pride
17,Engaged
17,Engaged
18,Engaged
18,Engaged
18,Engaged
18,Engaged
18,Engaged
18,Happy/Delight
18,Happy/Delight
18,Engaged
18,Engaged
19,Engaged
19,Engaged
19,Engaged
19,Engaged
19,Engaged
19,Engaged
19,Engaged
19,Engaged
19,Engaged
20,Engaged
20,Engaged
20,Happy/Delight
20,Happy/Delight
20,Happy/Delight
20,Engaged
20,Engaged
20,Engaged
20,Engaged
21,Frustrated
21,Frustrated
21,Engaged
21,Engaged
21,Engaged
21,Happy/Delight
21,Happy/Delight
21,Engaged
21,Engaged
22,Engaged
22,Engaged
22,Confused
22,Confused
22,Confused
22,Happy/Delight
22,Happy/Delight
22,Engaged
22,Engaged
23,Engaged
23,Engaged
23,Engaged
23,Engaged
23,Engaged
23,Happy/Delight
23,Happy/Delight
23,Engaged
23,Engaged
24,Engaged
24,Engaged
24,Happy/Delight
24,Happy/Delight
24,Happy/Delight
24,Pride
24,Pride
24,Engaged
24,Engaged
25,Engaged
25,Engaged
25,Engaged
25,Engaged
25,Engaged
25,Happy/Delight
25,Happy/Delight
25,Engaged
25,Engaged
26,Engaged
26,Engaged
26,Engaged
26,Engaged
26,Engaged
26,Engaged
26,Engaged
26,Engaged
26,Engaged
27,Engaged
27,Engaged
27,Engaged
27,Engaged
27,Engaged
27,Engaged
27,Engaged
27,Engaged
27,Engaged
28,Engaged
28,Engaged
28,Engaged
28,Engaged
28,Engaged
28,Frustrated
28,Frustrated
28,Engaged
28,Engaged
29,Engaged
29,Engaged
29,Engaged
29,Engaged
29,Engaged
29,Frustrated
29,Frustrated
29,Engaged
29,Engaged
30,Engaged
30,Engaged
30,Engaged
30,Engaged
30,Engaged
30,Engaged
30,Engaged
30,Engaged
30,Engaged
31,Engaged
31,Engaged
31,Engaged
31,Happy/Delight
31,Happy/Delight
31,Engaged
31,Engaged
31,Engaged
31,Engaged
32,Engaged
32,Engaged
32,Engaged
32,Happy/Delight
32,Happy/Delight
32,Blame
32,Pride
32,Pride
32,Engaged
33,Engaged
33,Engaged
33,Engaged
33,Engaged
33,Engaged
33,Happy/Delight
33,Pride
33,Pride
33,Engaged
34,Engaged
34,Engaged
34,Engaged
34,Engaged
34,Engaged
34,Engaged
34,Engaged
34,Engaged
34,Engaged
35,Engaged
35,Engaged
35,Engaged
35,Engaged
35,Engaged
35,Engaged
35,Engaged
35,Engaged
35,Engaged
36,Engaged
36,Engaged
36,Engaged
36,Engaged
36,Engaged
36,Pride
36,Frustrated
36,Frustrated
36,Engaged
37,Engaged
37,Engaged
37,Engaged
37,Engaged
37,Engaged
37,Confused
37,Engaged
37,Engaged
37,Engaged
38,Engaged
38,Frustrated
38,Frustrated
38,Frustrated
38,Frustrated
38,Confused
38,Engaged
38,Engaged
38,Engaged
39,Engaged
39,Engaged
39,Engaged
39,Engaged
39,Engaged
39,Engaged
39,Engaged
39,Engaged
39,Engaged
40,Engaged
40,Engaged
40,Engaged
40,Engaged
40,Engaged
40,Happy/Delight
40,Engaged
40,Engaged
40,Engaged
